order_id,order_date,customer_id,ship_mode,status,payment_method
ORD-00188,2025-11-26 20:21:00,CUST-0066,Standard Class,Completed,Transfer Bank
ORD-00189,2025-11-27 18:27:00,CUST-0261,Standard Class,Completed,Credit Card
ORD-00190,2025-01-10 13:19:00,CUST-0093,Standard Class,Completed,E-Wallet
ORD-00191,2025-06-24 20:31:00,CUST-0099,Second Class,Completed,E-Wallet
ORD-00192,2025-03-12 10:04:00,CUST-0152,Standard Class,Completed,Transfer Bank
ORD-00193,2025-09-17 20:34:00,CUST-0270,Second Class,Completed,Transfer Bank
ORD-00194,2025-12-05 13:56:00,CUST-0068,Standard Class,Completed,COD
ORD-00195,2025-03-20 10:11:00,CUST-0085,Standard Class,Completed,COD
ORD-00196,2025-01-23 14:23:00,CUST-0122,Second Class,Completed,COD
ORD-00197,2025-11-09 12:48:00,CUST-0230,Standard Class,Completed,E-Wallet
ORD-00198,2025-10-01 11:19:00,CUST-0241,Standard Class,Completed,E-Wallet
ORD-00199,2025-07-08 18:36:00,CUST-0226,Second Class,Completed,COD
ORD-00200,2026-01-29 12:49:00,CUST-0196,Standard Class,Completed,COD
ORD-00201,2026-05-10 10:52:00,CUST-0103,Standard Class,Completed,E-Wallet
ORD-00202,2026-03-23 12:03:00,CUST-0247,Second Class,Completed,Credit Card
ORD-00203,2025-10-11 09:45:00,CUST-0265,Standard Class,Completed,Transfer Bank
ORD-00204,2025-05-26 09:48:00,CUST-0083,Standard Class,Completed,Credit Card
ORD-00205,2025-08-19 16:09:00,CUST-0224,Standard Class,Completed,Transfer Bank
ORD-00206,2026-04-30 11:52:00,CUST-0231,Second Class,Completed,Credit Card
ORD-00207,2026-04-22 08:26:00,CUST-0028,First Class,Completed,COD
ORD-00208,2025-09-15 13:15:00,CUST-0198,Standard Class,Completed,Transfer Bank
ORD-00209,2025-07-11 11:01:00,CUST-0164,Standard Class,Completed,Transfer Bank
ORD-00210,2026-03-06 19:41:00,CUST-0172,First Class,Completed,E-Wallet
ORD-00211,2025-03-12 08:18:00,CUST-0242,Standard Class,Completed,E-Wallet
ORD-00212,2026-01-24 19:30:00,CUST-0230,Standard Class,Completed,Transfer Bank
ORD-00213,2026-04-09 09:01:00,CUST-0132,Second Class,Completed,E-Wallet
ORD-00214,2026-03-04 10:35:00,CUST-0271,Second Class,Completed,COD
ORD-00215,2025-02-26 20:18:00,CUST-0122,Standard Class,Cancelled,Credit Card
ORD-00216,2025-03-04 08:15:00,CUST-0215,Standard Class,Completed,COD
ORD-00217,2025-02-02 09:53:00,CUST-0256,First Class,Completed,Transfer Bank
ORD-00218,2025-11-20 16:36:00,CUST-0124,Standard Class,Completed,E-Wallet
ORD-00219,2025-05-30 14:00:00,CUST-0181,Standard Class,Completed,E-Wallet
ORD-00220,2025-10-20 14:11:00,CUST-0044,Standard Class,Completed,Credit Card
ORD-00221,2025-02-04 16:34:00,CUST-0260,Standard Class,Completed,Transfer Bank
ORD-00222,2025-07-19 21:30:00,CUST-0023,Standard Class,Completed,COD
ORD-00223,2025-07-11 12:47:00,CUST-0009,Second Class,Completed,Credit Card
ORD-00224,2026-02-08 09:22:00,CUST-0124,Second Class,Completed,Transfer Bank
ORD-00225,2026-01-31 17:47:00,CUST-0171,Standard Class,Completed,E-Wallet
ORD-00226,2025-01-23 13:34:00,CUST-0174,Same Day,Completed,E-Wallet
ORD-00227,2026-03-02 20:43:00,CUST-0238,Standard Class,Completed,COD
ORD-00228,2025-11-20 10:51:00,CUST-0070,Standard Class,Completed,Transfer Bank
ORD-00229,2026-01-02 20:29:00,CUST-0019,First Class,Completed,Credit Card
ORD-00230,2025-04-14 08:50:00,CUST-0103,Standard Class,Completed,Transfer Bank
ORD-00231,2025-06-11 12:32:00,CUST-0204,Standard Class,Completed,COD
ORD-00232,2025-05-10 08:48:00,CUST-0098,Second Class,Completed,Credit Card
ORD-00233,2025-07-02 21:49:00,CUST-0025,Second Class,Completed,Credit Card
ORD-00234,2025-05-20 09:51:00,CUST-0189,Same Day,Completed,COD
ORD-00235,2026-04-01 14:47:00,CUST-0226,Standard Class,Returned,COD
ORD-00236,2025-06-23 10:31:00,CUST-0255,Standard Class,Completed,Credit Card
ORD-00237,2026-04-19 20:33:00,CUST-0137,Second Class,Returned,Transfer Bank
ORD-00238,2026-01-08 14:05:00,CUST-0221,Standard Class,Completed,E-Wallet
ORD-00239,2025-10-07 12:20:00,CUST-0053,Second Class,Returned,Transfer Bank
ORD-00240,2025-06-17 18:18:00,CUST-0157,Standard Class,Completed,COD
ORD-00241,2025-11-05 19:27:00,CUST-0086,Second Class,Completed,COD
ORD-00242,2025-06-29 15:02:00,CUST-0181,Second Class,Completed,COD
ORD-00243,2025-05-21 18:50:00,CUST-0030,Second Class,Completed,Transfer Bank
ORD-00244,2025-12-10 18:25:00,CUST-0187,Second Class,Completed,E-Wallet
ORD-00245,2026-05-03 08:09:00,CUST-0225,Standard Class,Completed,Transfer Bank
ORD-00246,2025-03-06 09:15:00,CUST-0188,First Class,Completed,Credit Card
ORD-00247,2025-07-16 17:02:00,CUST-0079,Standard Class,Completed,COD
ORD-00248,2026-05-01 13:23:00,CUST-0228,Standard Class,Completed,Transfer Bank
ORD-00249,2025-10-21 10:33:00,CUST-0188,Standard Class,Completed,COD
ORD-00250,2025-06-10 18:17:00,CUST-0128,First Class,Completed,Transfer Bank
ORD-00251,2025-01-14 19:11:00,CUST-0256,Standard Class,Completed,COD
ORD-00252,2026-04-13 16:07:00,CUST-0135,Second Class,Cancelled,Credit Card
ORD-00253,2025-12-27 15:13:00,CUST-0147,Standard Class,Completed,COD
ORD-00254,2025-04-13 09:08:00,CUST-0038,Standard Class,Completed,COD
ORD-00255,2025-03-30 19:28:00,CUST-0045,Standard Class,Completed,Credit Card
ORD-00256,2025-12-08 13:45:00,CUST-0034,Standard Class,Completed,Credit Card
ORD-00257,2026-04-02 12:54:00,CUST-0081,Second Class,Completed,E-Wallet
ORD-00258,2026-02-11 13:32:00,CUST-0115,Standard Class,Completed,Transfer Bank
ORD-00259,2025-04-13 20:08:00,CUST-0122,Standard Class,Completed,COD
ORD-00260,2025-01-14 13:35:00,CUST-0294,Second Class,Completed,Credit Card
ORD-00261,2025-08-28 20:35:00,CUST-0067,First Class,Completed,Transfer Bank
ORD-00262,2025-02-03 12:25:00,CUST-0246,Standard Class,Completed,COD
ORD-00263,2026-01-29 14:52:00,CUST-0295,Standard Class,Completed,Transfer Bank
ORD-00264,2025-03-06 13:41:00,CUST-0038,Second Class,Completed,COD
ORD-00265,2025-08-27 18:33:00,CUST-0177,Standard Class,Completed,E-Wallet
ORD-00266,2026-03-26 21:49:00,CUST-0283,Standard Class,Completed,E-Wallet
ORD-00267,2026-01-29 10:27:00,CUST-0258,Standard Class,Completed,Transfer Bank
ORD-00268,2026-03-02 09:33:00,CUST-0079,Standard Class,Completed,Credit Card
ORD-00269,2025-03-26 10:20:00,CUST-0116,Standard Class,Completed,Credit Card
ORD-00270,2026-05-01 16:57:00,CUST-0146,Standard Class,Completed,Transfer Bank
ORD-00271,2025-05-09 11:40:00,CUST-0283,Second Class,Completed,Credit Card
ORD-00272,2025-03-06 18:19:00,CUST-0274,Standard Class,Completed,Transfer Bank
ORD-00273,2025-09-15 18:10:00,CUST-0298,Standard Class,Completed,E-Wallet
ORD-00274,2025-03-29 18:39:00,CUST-0173,Second Class,Returned,Transfer Bank
ORD-00275,2026-02-27 21:01:00,CUST-0042,Second Class,Completed,Transfer Bank
ORD-00276,2026-05-01 18:49:00,CUST-0296,Standard Class,Completed,Credit Card
ORD-00277,2025-11-30 11:49:00,CUST-0293,Standard Class,Completed,COD
ORD-00278,2025-11-13 18:01:00,CUST-0255,First Class,Completed,Credit Card
ORD-00279,2025-11-25 12:30:00,CUST-0126,Standard Class,Completed,COD
ORD-00280,2025-06-02 15:04:00,CUST-0031,Standard Class,Completed,E-Wallet
ORD-00281,2025-08-14 14:30:00,CUST-0238,Standard Class,Completed,E-Wallet
ORD-00282,2025-06-24 17:09:00,CUST-0161,Second Class,Completed,Credit Card
ORD-00283,2026-01-11 21:22:00,CUST-0205,Second Class,Completed,E-Wallet
ORD-00284,2026-01-25 13:32:00,CUST-0288,Second Class,Completed,Transfer Bank
ORD-00285,2025-06-13 11:29:00,CUST-0063,Standard Class,Completed,Credit Card
ORD-00286,2025-08-19 11:09:00,CUST-0050,Standard Class,Completed,Transfer Bank
ORD-00287,2025-05-29 14:55:00,CUST-0215,Standard Class,Completed,E-Wallet
ORD-00288,2026-05-08 21:57:00,CUST-0082,Standard Class,Completed,Credit Card
ORD-00289,2026-04-24 17:46:00,CUST-0161,Standard Class,Completed,E-Wallet
ORD-00290,2026-01-26 10:31:00,CUST-0264,Standard Class,Completed,COD
ORD-00291,2025-09-13 12:31:00,CUST-0012,Standard Class,Completed,Transfer Bank
ORD-00292,2026-04-29 14:32:00,CUST-0235,First Class,Returned,E-Wallet
ORD-00293,2025-04-21 17:22:00,CUST-0025,First Class,Cancelled,Transfer Bank
ORD-00294,2025-05-25 15:38:00,CUST-0241,Standard Class,Completed,Credit Card
ORD-00295,2025-10-02 08:54:00,CUST-0056,Standard Class,Completed,COD
ORD-00296,2025-03-10 12:46:00,CUST-0188,First Class,Completed,COD
ORD-00297,2025-07-07 08:25:00,CUST-0027,Standard Class,Completed,E-Wallet
ORD-00298,2025-07-05 16:18:00,CUST-0038,Second Class,Completed,COD
ORD-00299,2025-09-16 15:48:00,CUST-0282,First Class,Completed,Credit Card
ORD-00300,2026-02-27 17:43:00,CUST-0061,Same Day,Completed,E-Wallet
ORD-00301,2026-05-15 09:25:00,CUST-0192,Standard Class,Completed,Credit Card
ORD-00302,2025-10-13 13:48:00,CUST-0074,Standard Class,Completed,E-Wallet
ORD-00303,2025-11-05 16:25:00,CUST-0257,Second Class,Completed,Transfer Bank
ORD-00304,2025-01-24 08:08:00,CUST-0171,Same Day,Completed,COD
ORD-00305,2025-09-23 15:09:00,CUST-0264,Standard Class,Completed,E-Wallet
ORD-00306,2025-06-17 17:20:00,CUST-0084,Second Class,Completed,COD
ORD-00307,2025-11-12 19:53:00,CUST-0154,Standard Class,Returned,Credit Card
ORD-00308,2025-09-17 21:32:00,CUST-0273,Second Class,Completed,COD
ORD-00309,2025-12-29 17:19:00,CUST-0244,Standard Class,Completed,Transfer Bank
ORD-00310,2025-07-08 13:43:00,CUST-0057,Standard Class,Completed,COD
ORD-00311,2025-10-26 12:50:00,CUST-0014,Standard Class,Completed,COD
ORD-00312,2025-05-16 18:50:00,CUST-0297,Standard Class,Completed,E-Wallet
ORD-00313,2026-01-05 08:37:00,CUST-0246,Second Class,Completed,E-Wallet
ORD-00314,2025-09-26 18:46:00,CUST-0195,Standard Class,Completed,E-Wallet
ORD-00315,2026-02-25 18:15:00,CUST-0017,Standard Class,Completed,Transfer Bank
ORD-00316,2025-04-08 08:28:00,CUST-0161,Second Class,Completed,COD
ORD-00317,2025-03-19 14:44:00,CUST-0105,Second Class,Completed,COD
ORD-00318,2025-09-14 20:39:00,CUST-0242,Standard Class,Completed,Transfer Bank
ORD-00319,2025-12-28 10:33:00,CUST-0107,Second Class,Completed,Credit Card
ORD-00320,2025-12-06 15:33:00,CUST-0193,Second Class,Completed,Credit Card
ORD-00321,2026-05-05 10:29:00,CUST-0273,Standard Class,Completed,Credit Card
ORD-00322,2025-10-07 13:43:00,CUST-0136,Standard Class,Completed,COD
ORD-00323,2025-04-09 11:17:00,CUST-0286,Standard Class,Completed,Credit Card
ORD-00324,2025-04-26 12:49:00,CUST-0148,Second Class,Completed,E-Wallet
ORD-00325,2025-12-20 19:31:00,CUST-0163,Second Class,Completed,COD
ORD-00326,2025-06-28 16:59:00,CUST-0141,Standard Class,Completed,Credit Card
ORD-00327,2025-03-04 17:43:00,CUST-0279,Standard Class,Completed,COD
ORD-00328,2026-04-04 14:52:00,CUST-0177,Standard Class,Completed,E-Wallet
ORD-00329,2025-05-29 08:18:00,CUST-0041,Second Class,Completed,Credit Card
