item_id,order_id,product_id,quantity,unit_price,cost_price,discount
ITM-000145,ORD-00083,PROD-019,1,110000,60000,0.0
ITM-000146,ORD-00084,PROD-024,1,36000,18000,0.0
ITM-000147,ORD-00085,PROD-010,1,85000,45000,0.2
ITM-000148,ORD-00086,PROD-024,2,36000,18000,0.05
ITM-000149,ORD-00087,PROD-024,3,36000,18000,0.0
ITM-000150,ORD-00088,PROD-019,1,110000,60000,0.1
ITM-000151,ORD-00089,PROD-002,2,450000,280000,0.15
ITM-000152,ORD-00089,PROD-018,2,95000,48000,0.1
ITM-000153,ORD-00090,PROD-013,2,220000,125000,0.05
ITM-000154,ORD-00090,PROD-024,3,36000,18000,0.0
ITM-000155,ORD-00090,PROD-007,1,200000,120000,0.0
ITM-000156,ORD-00091,PROD-004,2,120000,70000,0.05
ITM-000157,ORD-00092,PROD-005,1,1800000,1350000,0.1
ITM-000158,ORD-00093,PROD-009,5,250000,140000,0.0
ITM-000159,ORD-00094,PROD-008,1,280000,175000,0.2
ITM-000160,ORD-00095,PROD-017,1,50000,22000,0.1
ITM-000161,ORD-00096,PROD-009,1,250000,140000,0.05
ITM-000162,ORD-00096,PROD-001,1,150000,95000,0.1
ITM-000163,ORD-00097,PROD-022,2,125000,68000,0.0
ITM-000164,ORD-00098,PROD-012,1,165000,90000,0.1
ITM-000165,ORD-00099,PROD-006,2,35000,15000,0.0
ITM-000166,ORD-00099,PROD-002,1,450000,280000,0.05
ITM-000167,ORD-00099,PROD-020,1,65000,32000,0.05
ITM-000168,ORD-00099,PROD-016,1,175000,95000,0.0
ITM-000169,ORD-00100,PROD-001,1,150000,95000,0.0
ITM-000170,ORD-00100,PROD-005,1,1800000,1350000,0.0
ITM-000171,ORD-00101,PROD-020,2,65000,32000,0.0
ITM-000172,ORD-00101,PROD-015,1,135000,70000,0.1
ITM-000173,ORD-00102,PROD-024,3,36000,18000,0.0
ITM-000174,ORD-00103,PROD-006,1,35000,15000,0.15
ITM-000175,ORD-00103,PROD-022,1,125000,68000,0.0
ITM-000176,ORD-00104,PROD-016,1,175000,95000,0.0
ITM-000177,ORD-00105,PROD-016,1,175000,95000,0.05
ITM-000178,ORD-00106,PROD-018,1,95000,48000,0.0
ITM-000179,ORD-00107,PROD-018,1,95000,48000,0.0
ITM-000180,ORD-00108,PROD-002,3,450000,280000,0.0
ITM-000181,ORD-00108,PROD-006,2,35000,15000,0.0
ITM-000182,ORD-00108,PROD-001,1,150000,95000,0.05
ITM-000183,ORD-00108,PROD-022,2,125000,68000,0.15
ITM-000184,ORD-00109,PROD-012,5,165000,90000,0.0
ITM-000185,ORD-00110,PROD-010,1,85000,45000,0.0
ITM-000186,ORD-00111,PROD-021,1,85000,42000,0.05
ITM-000187,ORD-00111,PROD-025,1,95000,50000,0.0
ITM-000188,ORD-00111,PROD-001,1,150000,95000,0.15
ITM-000189,ORD-00111,PROD-006,5,35000,15000,0.0
ITM-000190,ORD-00112,PROD-010,2,85000,45000,0.05
ITM-000191,ORD-00113,PROD-001,1,150000,95000,0.0
ITM-000192,ORD-00114,PROD-019,1,110000,60000,0.0
ITM-000193,ORD-00115,PROD-002,2,450000,280000,0.1
ITM-000194,ORD-00115,PROD-020,2,65000,32000,0.0
ITM-000195,ORD-00116,PROD-014,2,185000,100000,0.0
ITM-000196,ORD-00117,PROD-017,1,50000,22000,0.05
ITM-000197,ORD-00118,PROD-006,1,35000,15000,0.0
ITM-000198,ORD-00118,PROD-012,2,165000,90000,0.1
ITM-000199,ORD-00119,PROD-006,1,35000,15000,0.0
ITM-000200,ORD-00119,PROD-009,1,250000,140000,0.0
ITM-000201,ORD-00120,PROD-024,1,36000,18000,0.0
ITM-000202,ORD-00120,PROD-012,1,165000,90000,0.0
ITM-000203,ORD-00120,PROD-017,5,50000,22000,0.0
ITM-000204,ORD-00121,PROD-023,1,45000,20000,0.15
ITM-000205,ORD-00121,PROD-001,1,150000,95000,0.0
ITM-000206,ORD-00121,PROD-008,2,280000,175000,0.0
ITM-000207,ORD-00121,PROD-013,1,220000,125000,0.0
ITM-000208,ORD-00122,PROD-012,1,165000,90000,0.05
ITM-000209,ORD-00123,PROD-007,3,200000,120000,0.1
ITM-000210,ORD-00123,PROD-021,1,85000,42000,0.0
ITM-000211,ORD-00124,PROD-019,2,110000,60000,0.0
ITM-000212,ORD-00124,PROD-014,5,185000,100000,0.1
ITM-000213,ORD-00125,PROD-011,1,75000,35000,0.05
ITM-000214,ORD-00125,PROD-016,1,175000,95000,0.1
ITM-000215,ORD-00125,PROD-005,2,1800000,1350000,0.1
ITM-000216,ORD-00126,PROD-025,2,95000,50000,0.15
ITM-000217,ORD-00127,PROD-024,1,36000,18000,0.0
ITM-000218,ORD-00127,PROD-002,1,450000,280000,0.1
ITM-000219,ORD-00127,PROD-025,2,95000,50000,0.1
ITM-000220,ORD-00128,PROD-003,1,350000,210000,0.1
ITM-000221,ORD-00129,PROD-019,1,110000,60000,0.0
ITM-000222,ORD-00130,PROD-002,1,450000,280000,0.05
ITM-000223,ORD-00130,PROD-004,2,120000,70000,0.0
ITM-000224,ORD-00130,PROD-011,1,75000,35000,0.05
ITM-000225,ORD-00131,PROD-022,5,125000,68000,0.0
ITM-000226,ORD-00131,PROD-021,2,85000,42000,0.0
ITM-000227,ORD-00131,PROD-001,1,150000,95000,0.1
ITM-000228,ORD-00132,PROD-023,1,45000,20000,0.0
ITM-000229,ORD-00132,PROD-010,1,85000,45000,0.05
ITM-000230,ORD-00133,PROD-011,3,75000,35000,0.05
ITM-000231,ORD-00134,PROD-023,1,45000,20000,0.2
ITM-000232,ORD-00134,PROD-008,2,280000,175000,0.05
ITM-000233,ORD-00135,PROD-020,1,65000,32000,0.0
ITM-000234,ORD-00136,PROD-025,1,95000,50000,0.0
ITM-000235,ORD-00137,PROD-009,2,250000,140000,0.0
ITM-000236,ORD-00138,PROD-019,3,110000,60000,0.0
ITM-000237,ORD-00138,PROD-008,2,280000,175000,0.0
ITM-000238,ORD-00139,PROD-007,2,200000,120000,0.0
ITM-000239,ORD-00140,PROD-006,1,35000,15000,0.0
ITM-000240,ORD-00140,PROD-022,2,125000,68000,0.0
ITM-000241,ORD-00141,PROD-014,1,185000,100000,0.0
ITM-000242,ORD-00142,PROD-004,1,120000,70000,0.0
ITM-000243,ORD-00143,PROD-019,1,110000,60000,0.1
ITM-000244,ORD-00143,PROD-014,1,185000,100000,0.0
ITM-000245,ORD-00144,PROD-001,1,150000,95000,0.0
ITM-000246,ORD-00145,PROD-024,2,36000,18000,0.0
ITM-000247,ORD-00145,PROD-019,1,110000,60000,0.0
ITM-000248,ORD-00146,PROD-003,2,350000,210000,0.0
ITM-000249,ORD-00147,PROD-011,2,75000,35000,0.0
ITM-000250,ORD-00148,PROD-004,1,120000,70000,0.05
ITM-000251,ORD-00148,PROD-015,1,135000,70000,0.05
ITM-000252,ORD-00148,PROD-002,1,450000,280000,0.0
ITM-000253,ORD-00149,PROD-016,5,175000,95000,0.15
ITM-000254,ORD-00149,PROD-018,1,95000,48000,0.0
ITM-000255,ORD-00150,PROD-022,1,125000,68000,0.1
ITM-000256,ORD-00150,PROD-006,3,35000,15000,0.15
ITM-000257,ORD-00151,PROD-022,2,125000,68000,0.15
ITM-000258,ORD-00152,PROD-009,3,250000,140000,0.0
ITM-000259,ORD-00152,PROD-016,3,175000,95000,0.05
ITM-000260,ORD-00153,PROD-019,1,110000,60000,0.0
ITM-000261,ORD-00154,PROD-004,1,120000,70000,0.0
ITM-000262,ORD-00155,PROD-021,1,85000,42000,0.0
ITM-000263,ORD-00156,PROD-021,3,85000,42000,0.15
ITM-000264,ORD-00156,PROD-011,3,75000,35000,0.05
ITM-000265,ORD-00157,PROD-017,3,50000,22000,0.0
ITM-000266,ORD-00157,PROD-003,3,350000,210000,0.0
ITM-000267,ORD-00158,PROD-008,1,280000,175000,0.05
ITM-000268,ORD-00158,PROD-025,1,95000,50000,0.0
ITM-000269,ORD-00159,PROD-007,1,200000,120000,0.0
ITM-000270,ORD-00160,PROD-001,3,150000,95000,0.0
ITM-000271,ORD-00161,PROD-002,1,450000,280000,0.05
ITM-000272,ORD-00162,PROD-001,1,150000,95000,0.0
ITM-000273,ORD-00163,PROD-006,2,35000,15000,0.2
ITM-000274,ORD-00163,PROD-021,2,85000,42000,0.0
ITM-000275,ORD-00164,PROD-015,1,135000,70000,0.0
ITM-000276,ORD-00164,PROD-009,5,250000,140000,0.0
ITM-000277,ORD-00165,PROD-003,1,350000,210000,0.2
ITM-000278,ORD-00165,PROD-007,1,200000,120000,0.0
ITM-000279,ORD-00165,PROD-023,1,45000,20000,0.0
ITM-000280,ORD-00166,PROD-021,3,85000,42000,0.0
ITM-000281,ORD-00166,PROD-003,1,350000,210000,0.05
ITM-000282,ORD-00166,PROD-011,1,75000,35000,0.0
ITM-000283,ORD-00167,PROD-010,2,85000,45000,0.15
ITM-000284,ORD-00167,PROD-012,1,165000,90000,0.0
ITM-000285,ORD-00168,PROD-019,1,110000,60000,0.0
ITM-000286,ORD-00168,PROD-018,1,95000,48000,0.0
ITM-000287,ORD-00169,PROD-007,2,200000,120000,0.1
ITM-000288,ORD-00170,PROD-002,1,450000,280000,0.05
ITM-000289,ORD-00170,PROD-001,2,150000,95000,0.0
ITM-000290,ORD-00171,PROD-002,2,450000,280000,0.05
ITM-000291,ORD-00172,PROD-008,3,280000,175000,0.1
ITM-000292,ORD-00173,PROD-012,2,165000,90000,0.0
ITM-000293,ORD-00174,PROD-013,1,220000,125000,0.05
ITM-000294,ORD-00174,PROD-017,3,50000,22000,0.0
ITM-000295,ORD-00175,PROD-002,1,450000,280000,0.0
ITM-000296,ORD-00175,PROD-015,2,135000,70000,0.0
ITM-000297,ORD-00176,PROD-014,1,185000,100000,0.0
ITM-000298,ORD-00177,PROD-001,1,150000,95000,0.0
ITM-000299,ORD-00178,PROD-004,5,120000,70000,0.05
ITM-000300,ORD-00178,PROD-017,2,50000,22000,0.05
ITM-000301,ORD-00179,PROD-016,1,175000,95000,0.05
ITM-000302,ORD-00179,PROD-021,1,85000,42000,0.0
ITM-000303,ORD-00180,PROD-022,1,125000,68000,0.0
ITM-000304,ORD-00180,PROD-004,2,120000,70000,0.1
ITM-000305,ORD-00181,PROD-017,1,50000,22000,0.05
ITM-000306,ORD-00181,PROD-010,1,85000,45000,0.0
ITM-000307,ORD-00182,PROD-024,1,36000,18000,0.0
ITM-000308,ORD-00182,PROD-016,3,175000,95000,0.0
ITM-000309,ORD-00183,PROD-010,3,85000,45000,0.0
ITM-000310,ORD-00184,PROD-015,1,135000,70000,0.1
ITM-000311,ORD-00184,PROD-004,1,120000,70000,0.05
ITM-000312,ORD-00185,PROD-018,5,95000,48000,0.05
ITM-000313,ORD-00185,PROD-025,1,95000,50000,0.1
ITM-000314,ORD-00186,PROD-023,3,45000,20000,0.0
ITM-000315,ORD-00186,PROD-001,1,150000,95000,0.0
ITM-000316,ORD-00186,PROD-015,1,135000,70000,0.0
ITM-000317,ORD-00187,PROD-019,2,110000,60000,0.15
ITM-000318,ORD-00187,PROD-012,1,165000,90000,0.1
ITM-000319,ORD-00188,PROD-011,1,75000,35000,0.15
ITM-000320,ORD-00189,PROD-005,1,1800000,1350000,0.0
ITM-000321,ORD-00189,PROD-010,2,85000,45000,0.0
ITM-000322,ORD-00190,PROD-025,1,95000,50000,0.1
ITM-000323,ORD-00190,PROD-022,1,125000,68000,0.05
ITM-000324,ORD-00191,PROD-010,3,85000,45000,0.0
ITM-000325,ORD-00192,PROD-014,3,185000,100000,0.0
ITM-000326,ORD-00192,PROD-013,1,220000,125000,0.0
ITM-000327,ORD-00192,PROD-021,1,85000,42000,0.1
ITM-000328,ORD-00193,PROD-019,1,110000,60000,0.0
ITM-000329,ORD-00193,PROD-003,2,350000,210000,0.0
ITM-000330,ORD-00193,PROD-014,3,185000,100000,0.1
ITM-000331,ORD-00194,PROD-015,1,135000,70000,0.1
ITM-000332,ORD-00195,PROD-013,1,220000,125000,0.0
ITM-000333,ORD-00196,PROD-017,5,50000,22000,0.05
ITM-000334,ORD-00196,PROD-025,1,95000,50000,0.0
ITM-000335,ORD-00196,PROD-002,2,450000,280000,0.0
ITM-000336,ORD-00197,PROD-002,1,450000,280000,0.1
ITM-000337,ORD-00197,PROD-017,1,50000,22000,0.05
ITM-000338,ORD-00198,PROD-005,1,1800000,1350000,0.0
ITM-000339,ORD-00198,PROD-018,1,95000,48000,0.0
ITM-000340,ORD-00199,PROD-020,1,65000,32000,0.0
ITM-000341,ORD-00199,PROD-023,2,45000,20000,0.0
ITM-000342,ORD-00200,PROD-007,1,200000,120000,0.0
ITM-000343,ORD-00201,PROD-004,5,120000,70000,0.05
ITM-000344,ORD-00202,PROD-019,5,110000,60000,0.05
ITM-000345,ORD-00202,PROD-015,5,135000,70000,0.0
ITM-000346,ORD-00203,PROD-011,5,75000,35000,0.0
ITM-000347,ORD-00203,PROD-018,1,95000,48000,0.05
ITM-000348,ORD-00204,PROD-024,1,36000,18000,0.0
ITM-000349,ORD-00205,PROD-005,1,1800000,1350000,0.05
ITM-000350,ORD-00205,PROD-015,2,135000,70000,0.1
ITM-000351,ORD-00206,PROD-003,3,350000,210000,0.05
ITM-000352,ORD-00207,PROD-013,1,220000,125000,0.0
ITM-000353,ORD-00208,PROD-022,1,125000,68000,0.0
ITM-000354,ORD-00208,PROD-003,2,350000,210000,0.1
ITM-000355,ORD-00209,PROD-019,1,110000,60000,0.0
ITM-000356,ORD-00210,PROD-001,2,150000,95000,0.1
ITM-000357,ORD-00211,PROD-011,1,75000,35000,0.0
ITM-000358,ORD-00212,PROD-015,2,135000,70000,0.15
ITM-000359,ORD-00213,PROD-013,1,220000,125000,0.05
ITM-000360,ORD-00213,PROD-016,2,175000,95000,0.1
ITM-000361,ORD-00213,PROD-018,2,95000,48000,0.0
ITM-000362,ORD-00214,PROD-004,2,120000,70000,0.0
ITM-000363,ORD-00214,PROD-025,1,95000,50000,0.0
ITM-000364,ORD-00215,PROD-005,1,1800000,1350000,0.0
ITM-000365,ORD-00216,PROD-006,1,35000,15000,0.0
ITM-000366,ORD-00217,PROD-003,1,350000,210000,0.05
ITM-000367,ORD-00218,PROD-024,1,36000,18000,0.0
ITM-000368,ORD-00218,PROD-019,5,110000,60000,0.0
ITM-000369,ORD-00218,PROD-021,1,85000,42000,0.0
ITM-000370,ORD-00219,PROD-005,1,1800000,1350000,0.0
ITM-000371,ORD-00219,PROD-004,2,120000,70000,0.05
ITM-000372,ORD-00220,PROD-011,1,75000,35000,0.1
ITM-000373,ORD-00220,PROD-023,2,45000,20000,0.0
ITM-000374,ORD-00220,PROD-010,3,85000,45000,0.0
ITM-000375,ORD-00220,PROD-001,1,150000,95000,0.0
ITM-000376,ORD-00221,PROD-008,2,280000,175000,0.0
ITM-000377,ORD-00221,PROD-014,1,185000,100000,0.0
ITM-000378,ORD-00222,PROD-009,2,250000,140000,0.0
ITM-000379,ORD-00223,PROD-001,5,150000,95000,0.0
ITM-000380,ORD-00223,PROD-022,1,125000,68000,0.0
ITM-000381,ORD-00224,PROD-016,2,175000,95000,0.0
ITM-000382,ORD-00225,PROD-016,2,175000,95000,0.05
ITM-000383,ORD-00226,PROD-009,3,250000,140000,0.0
ITM-000384,ORD-00226,PROD-014,2,185000,100000,0.0
ITM-000385,ORD-00227,PROD-003,1,350000,210000,0.0
ITM-000386,ORD-00228,PROD-017,1,50000,22000,0.0
ITM-000387,ORD-00228,PROD-010,1,85000,45000,0.0
ITM-000388,ORD-00229,PROD-014,2,185000,100000,0.05
ITM-000389,ORD-00229,PROD-012,1,165000,90000,0.05
ITM-000390,ORD-00229,PROD-021,5,85000,42000,0.15
ITM-000391,ORD-00230,PROD-017,2,50000,22000,0.0
ITM-000392,ORD-00231,PROD-004,1,120000,70000,0.0
ITM-000393,ORD-00231,PROD-018,2,95000,48000,0.0
ITM-000394,ORD-00232,PROD-025,5,95000,50000,0.0
ITM-000395,ORD-00232,PROD-002,1,450000,280000,0.1
ITM-000396,ORD-00233,PROD-019,1,110000,60000,0.05
ITM-000397,ORD-00233,PROD-016,3,175000,95000,0.0
ITM-000398,ORD-00233,PROD-012,2,165000,90000,0.0
ITM-000399,ORD-00234,PROD-005,1,1800000,1350000,0.15
ITM-000400,ORD-00234,PROD-019,3,110000,60000,0.0
ITM-000401,ORD-00235,PROD-006,2,35000,15000,0.0
ITM-000402,ORD-00235,PROD-013,1,220000,125000,0.0
ITM-000403,ORD-00235,PROD-021,1,85000,42000,0.0
ITM-000404,ORD-00236,PROD-017,2,50000,22000,0.2
ITM-000405,ORD-00236,PROD-011,1,75000,35000,0.05
ITM-000406,ORD-00237,PROD-006,1,35000,15000,0.05
ITM-000407,ORD-00237,PROD-010,1,85000,45000,0.1
ITM-000408,ORD-00237,PROD-017,1,50000,22000,0.0
ITM-000409,ORD-00237,PROD-022,1,125000,68000,0.0
ITM-000410,ORD-00238,PROD-021,2,85000,42000,0.0
ITM-000411,ORD-00238,PROD-008,1,280000,175000,0.05
ITM-000412,ORD-00239,PROD-006,2,35000,15000,0.0
ITM-000413,ORD-00240,PROD-012,3,165000,90000,0.0
ITM-000414,ORD-00241,PROD-006,1,35000,15000,0.05
ITM-000415,ORD-00241,PROD-004,1,120000,70000,0.1
ITM-000416,ORD-00242,PROD-020,1,65000,32000,0.05
ITM-000417,ORD-00243,PROD-004,1,120000,70000,0.15
ITM-000418,ORD-00244,PROD-008,1,280000,175000,0.0
ITM-000419,ORD-00244,PROD-002,1,450000,280000,0.0
ITM-000420,ORD-00245,PROD-021,2,85000,42000,0.0
ITM-000421,ORD-00245,PROD-004,1,120000,70000,0.05
ITM-000422,ORD-00245,PROD-019,3,110000,60000,0.05
ITM-000423,ORD-00245,PROD-012,1,165000,90000,0.0
ITM-000424,ORD-00246,PROD-024,5,36000,18000,0.0
ITM-000425,ORD-00246,PROD-016,1,175000,95000,0.2
ITM-000426,ORD-00247,PROD-018,1,95000,48000,0.05
ITM-000427,ORD-00248,PROD-020,1,65000,32000,0.05
ITM-000428,ORD-00248,PROD-019,1,110000,60000,0.05
ITM-000429,ORD-00249,PROD-019,1,110000,60000,0.0
ITM-000430,ORD-00250,PROD-015,1,135000,70000,0.0
ITM-000431,ORD-00251,PROD-020,1,65000,32000,0.0
ITM-000432,ORD-00252,PROD-003,1,350000,210000,0.0
ITM-000433,ORD-00252,PROD-018,2,95000,48000,0.0
ITM-000434,ORD-00252,PROD-001,1,150000,95000,0.0
